Item,Purpose,Source,Price,link

1.Esp32 Dev Module,main micro controller,Amazon,5.7$,https://www.amazon.in/Robocraze-ESP32-Development-
Board-Pin/dp/B0D6GDV77P/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.kds6pt1fpXZWjKgZ2GO6fJEoYcsi9TIQgFEv5lqximSKOh57P9Fo6Q-
W5ybRafxdDEEIrhuegY73MHn_ysMczgTJxTdGXmgxzkTCoBzXbA1GnQIrVb4TBJc-DGu5BehbxWbMnlxIE6GCCHFjBuoJMG_86xmh1K-DXww_
WROmKooSEbP7oD0nUJL6qO48uFxCKAhHc3a3fQNg3mQMPE_oWhP1QmSBtQVLmeKYnxS6aEM.0TtJV-37_H2ONV0gTxQ1LTK4ThSWjREGYMDMDiDOv3c&dib_
tag=se&keywords=esp32&qid=1779176922&sr=8-1-spons&aref=vyc6uxBrd4&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1

2.12x12mm Tactile Push Button x4,for Left click right click acroll up scroll down, amazon, 0.87$,https://www.amazon.in/Tactile-Push-
Button-Switch-Round/dp/B09G2QJF5X/ref=sr_1_1?crid=1DSL3NCZW7GLC&dib=eyJ2IjoiMSJ9.Ewi-hA1AI8y2AikpAzBoYusncrhmZL8khdcge9TIrc
3JbvYvfdccv1yemSTBqirSBeTi-gyqTpTfYkRsqeC8BVzRNeHOGU35kyaYOUjiWFa9sWFyQXnwjDSXlHVX3PMX5DMEbub19Isntt-
g4UXkuEKhaPFCEtH_wh5ktqu8BfEf59IfYx7Yv2yeEjuJvH_-mhhP9cUYgvoXpUziUMJU-Re_iA1hZTAAHeLCgSugVT4jkbPaNDuHnCIt7VzmFhbe67BcCsnEjyZawRZmkqFgO
-T3Fa6sHJCoRobDxmV9PYg.tQ8S6tqJN8IbaXMp23soXgXD55VLXX0Qdy1DqO68tuU&dib_tag=se&keywords=12x12mm+push+button&qid=
1779181666&sprefix=12x12mm+push+button%2Caps%2C655&sr=8-1

3.Tp4056 3.7v charging module, charging the battery, amazon, 1.32$,https://www.amazon.in/Electronicspices-Lithium-Battery-Charging-
Protection/dp/B08HQWJ58Z/ref=sr_1_6?crid=1TXZ47TU3THN4&dib=eyJ2IjoiMSJ9.snz-ye3VMaBm-Y1K-606xEcXVesEx6f0CpijWzvgzsD_
DvHRbLXzLJzxWhW1yD38mSXNWZxIaAJD2imp3oKjXTsKgEf3hOpH-9aW9MSf_8nbJw6SR4HCnJ1Cv9cRm-cXQJesKtEVUabp-E5mAYHrrZUXa3Xl4WzvjQG8-
OvijAk7ojNLfAFykCGtOhhK-YfigPEAysiq6iEqJgKIjdpdXegnJGt-hEpTH1G2oVwoEcDlZQs-9fZyf_L1CCGpqzwL2L8vpAwZjVOWI2PUj1dLLDHm0FHPPczeEzW6sApRTUw.
uoMaWyhW5qPxVJ_3zwtxgAohwbbm7hgfTXNycZFdjo8&dib_tag=se&keywords=tp4056%2Bcharging%2Bmodule%2Btype%2Bc&qid=1779181664&sprefix=
tp4056%2Caps%2C529&sr=8-6&th=1

4.3.7v li-ion battery (18650), to power the product, amazon, 4.14$,https://www.amazon.in/KP-Original-Rechargeable-Battery
-Electronic/dp/B0GWVRSLWC/ref=sr_1_10?crid=269V0754RFC7I&dib=eyJ2IjoiMSJ9.iZip_uTPObL4F5cpP2oBfGdsmpOE66qkQA8LCc2rqjX6fBjZshdr86c5VR_
-Ss2HOh8_T00q9R2ziQPpFkUyJrOrHufpjSSR94IsmLtGYr8ZqIJZt9LeqF6OULMvQCWQS8ueapdD2vuXkxCql_WAeuTkd37TV6QN-PHsObtDRU_vBzdP82Mei1H7Tu30gQSud-
